timestamp,nombre,propiedad,dato
2025-02-12 16:25:05,Temperatura Interior,temperatura,26.3
2025-02-12 16:25:05,Humedad Interior,humedad,54.0
2025-02-12 16:25:10,Temperatura Interior,temperatura,26.3
2025-02-12 16:25:10,Humedad Interior,humedad,54.0
2025-02-12 16:25:15,Temperatura Interior,temperatura,26.4
2025-02-12 16:25:15,Humedad Interior,humedad,54.0
2025-02-12 16:25:18,Temperatura Interior,temperatura,26.3
2025-02-12 16:25:18,Humedad Interior,humedad,54.0
2025-02-12 16:25:21,Temperatura Exterior,temperatura,25.3
2025-02-12 16:25:21,Humedad Exterior,humedad,51.7
2025-02-12 16:25:21,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:25:21,Humedad de Suelo,humedad,0.0
2025-02-12 16:25:21,Temperatura Agua,temperatura,24.375
2025-02-12 16:25:21,Humedad Agua,humedad,0.0
2025-02-12 16:25:21,Temperatura Suelo,temperatura,16.43956
2025-02-12 16:25:21,Humedad Suelo,humedad,0.0
2025-02-12 16:25:21,Temperatura Interior,temperatura,26.3
2025-02-12 16:25:21,Humedad Interior,humedad,54.0
2025-02-12 16:25:23,Temperatura Interior,temperatura,26.4
2025-02-12 16:25:23,Humedad Interior,humedad,54.0
2025-02-12 16:25:26,Temperatura Interior,temperatura,26.4
2025-02-12 16:25:26,Humedad Interior,humedad,54.0
2025-02-12 16:25:29,Temperatura Interior,temperatura,26.4
2025-02-12 16:25:29,Humedad Interior,humedad,54.0
2025-02-12 16:25:32,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:32,Humedad Interior,humedad,54.0
2025-02-12 16:25:34,Temperatura Exterior,temperatura,25.3
2025-02-12 16:25:34,Humedad Exterior,humedad,51.8
2025-02-12 16:25:34,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:25:34,Humedad de Suelo,humedad,0.0
2025-02-12 16:25:34,Temperatura Agua,temperatura,24.375
2025-02-12 16:25:34,Humedad Agua,humedad,0.0
2025-02-12 16:25:34,Temperatura Suelo,temperatura,14.34432
2025-02-12 16:25:34,Humedad Suelo,humedad,0.0
2025-02-12 16:25:34,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:34,Humedad Interior,humedad,54.0
2025-02-12 16:25:37,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:37,Humedad Interior,humedad,54.0
2025-02-12 16:25:40,Temperatura Exterior,temperatura,25.3
2025-02-12 16:25:40,Humedad Exterior,humedad,51.9
2025-02-12 16:25:40,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:25:40,Humedad de Suelo,humedad,0.0
2025-02-12 16:25:40,Temperatura Agua,temperatura,24.375
2025-02-12 16:25:40,Humedad Agua,humedad,0.0
2025-02-12 16:25:40,Temperatura Suelo,temperatura,13.45788
2025-02-12 16:25:40,Humedad Suelo,humedad,0.0
2025-02-12 16:25:40,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:40,Humedad Interior,humedad,54.0
2025-02-12 16:25:43,Temperatura Interior,temperatura,26.4
2025-02-12 16:25:43,Humedad Interior,humedad,54.0
2025-02-12 16:25:46,Temperatura Exterior,temperatura,25.3
2025-02-12 16:25:46,Humedad Exterior,humedad,51.8
2025-02-12 16:25:46,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:25:46,Humedad de Suelo,humedad,0.0
2025-02-12 16:25:46,Temperatura Agua,temperatura,24.375
2025-02-12 16:25:46,Humedad Agua,humedad,0.0
2025-02-12 16:25:46,Temperatura Suelo,temperatura,14.34432
2025-02-12 16:25:46,Humedad Suelo,humedad,0.0
2025-02-12 16:25:46,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:46,Humedad Interior,humedad,54.0
2025-02-12 16:25:49,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:49,Humedad Interior,humedad,54.0
2025-02-12 16:25:52,Temperatura Exterior,temperatura,25.3
2025-02-12 16:25:52,Humedad Exterior,humedad,51.6
2025-02-12 16:25:52,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:25:52,Humedad de Suelo,humedad,0.0
2025-02-12 16:25:52,Temperatura Agua,temperatura,24.375
2025-02-12 16:25:52,Humedad Agua,humedad,0.0
2025-02-12 16:25:52,Temperatura Suelo,temperatura,13.21612
2025-02-12 16:25:52,Humedad Suelo,humedad,0.0
2025-02-12 16:25:52,Temperatura Interior,temperatura,26.5
2025-02-12 16:25:52,Humedad Interior,humedad,54.0
2025-02-12 16:26:00,Temperatura Interior,temperatura,26.5
2025-02-12 16:26:00,Humedad Interior,humedad,54.0
2025-02-12 16:26:03,Temperatura Exterior,temperatura,25.3
2025-02-12 16:26:03,Humedad Exterior,humedad,51.6
2025-02-12 16:26:03,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:26:03,Humedad de Suelo,humedad,0.0
2025-02-12 16:26:03,Temperatura Agua,temperatura,24.375
2025-02-12 16:26:03,Humedad Agua,humedad,0.0
2025-02-12 16:26:03,Temperatura Suelo,temperatura,14.18315
2025-02-12 16:26:03,Humedad Suelo,humedad,0.0
2025-02-12 16:26:03,Temperatura Interior,temperatura,26.5
2025-02-12 16:26:03,Humedad Interior,humedad,54.0
2025-02-12 16:26:06,Temperatura Interior,temperatura,26.4
2025-02-12 16:26:06,Humedad Interior,humedad,54.0
2025-02-12 16:26:12,Temperatura Exterior,temperatura,25.3
2025-02-12 16:26:12,Humedad Exterior,humedad,51.6
2025-02-12 16:26:12,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:26:12,Humedad de Suelo,humedad,0.0
2025-02-12 16:26:12,Temperatura Agua,temperatura,24.375
2025-02-12 16:26:12,Humedad Agua,humedad,0.0
2025-02-12 16:26:12,Temperatura Suelo,temperatura,13.94139
2025-02-12 16:26:12,Humedad Suelo,humedad,0.0
2025-02-12 16:26:12,Temperatura Interior,temperatura,26.3
2025-02-12 16:26:12,Humedad Interior,humedad,54.0
2025-02-12 16:26:15,Temperatura Interior,temperatura,26.5
2025-02-12 16:26:15,Humedad Interior,humedad,54.0
2025-02-12 16:26:18,Temperatura Interior,temperatura,26.4
2025-02-12 16:26:18,Humedad Interior,humedad,54.0
2025-02-12 16:26:21,Temperatura Interior,temperatura,26.5
2025-02-12 16:26:21,Humedad Interior,humedad,55.0
2025-02-12 16:26:31,Temperatura Interior,temperatura,26.4
2025-02-12 16:26:31,Humedad Interior,humedad,55.0
2025-02-12 16:26:33,Temperatura Interior,temperatura,26.4
2025-02-12 16:26:33,Humedad Interior,humedad,54.0
2025-02-12 16:26:41,Temperatura Exterior,temperatura,25.4
2025-02-12 16:26:41,Humedad Exterior,humedad,51.6
2025-02-12 16:26:41,Temperatura de Suelo,temperatura,0.0
2025-02-12 16:26:41,Humedad de Suelo,humedad,0.0
2025-02-12 16:26:41,Temperatura Agua,temperatura,24.4375
2025-02-12 16:26:41,Humedad Agua,humedad,0.0
2025-02-12 16:26:41,Temperatura Suelo,temperatura,14.42491
