timestamp,sensor_id,nombre,humedad,temperatura
2025-02-12 16:25:05,,Temperatura Interior,54.0,26.3
2025-02-12 16:25:10,,Temperatura Interior,54.0,26.3
2025-02-12 16:25:15,,Temperatura Interior,54.0,26.4
2025-02-12 16:25:18,,Temperatura Interior,54.0,26.3
2025-02-12 16:25:21,,Temperatura Exterior,51.7,25.3
2025-02-12 16:25:21,,Humedad de Suelo,0.0,0.0
2025-02-12 16:25:21,,Temperatura Agua,0.0,24.375
2025-02-12 16:25:21,,Temperatura Suelo,0.0,16.43956
2025-02-12 16:25:21,,Temperatura Interior,54.0,26.3
2025-02-12 16:25:23,,Temperatura Interior,54.0,26.4
2025-02-12 16:25:26,,Temperatura Interior,54.0,26.4
2025-02-12 16:25:29,,Temperatura Interior,54.0,26.4
2025-02-12 16:25:32,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:34,,Temperatura Exterior,51.8,25.3
2025-02-12 16:25:34,,Humedad de Suelo,0.0,0.0
2025-02-12 16:25:34,,Temperatura Agua,0.0,24.375
2025-02-12 16:25:34,,Temperatura Suelo,0.0,14.34432
2025-02-12 16:25:34,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:37,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:40,,Temperatura Exterior,51.9,25.3
2025-02-12 16:25:40,,Humedad de Suelo,0.0,0.0
2025-02-12 16:25:40,,Temperatura Agua,0.0,24.375
2025-02-12 16:25:40,,Temperatura Suelo,0.0,13.45788
2025-02-12 16:25:40,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:43,,Temperatura Interior,54.0,26.4
2025-02-12 16:25:46,,Temperatura Exterior,51.8,25.3
2025-02-12 16:25:46,,Humedad de Suelo,0.0,0.0
2025-02-12 16:25:46,,Temperatura Agua,0.0,24.375
2025-02-12 16:25:46,,Temperatura Suelo,0.0,14.34432
2025-02-12 16:25:46,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:49,,Temperatura Interior,54.0,26.5
2025-02-12 16:25:52,,Temperatura Exterior,51.6,25.3
2025-02-12 16:25:52,,Humedad de Suelo,0.0,0.0
2025-02-12 16:25:52,,Temperatura Agua,0.0,24.375
2025-02-12 16:25:52,,Temperatura Suelo,0.0,13.21612
2025-02-12 16:25:52,,Temperatura Interior,54.0,26.5
2025-02-12 16:26:00,,Temperatura Interior,54.0,26.5
2025-02-12 16:26:03,,Temperatura Exterior,51.6,25.3
2025-02-12 16:26:03,,Humedad de Suelo,0.0,0.0
2025-02-12 16:26:03,,Temperatura Agua,0.0,24.375
2025-02-12 16:26:03,,Temperatura Suelo,0.0,14.18315
2025-02-12 16:26:03,,Temperatura Interior,54.0,26.5
2025-02-12 16:26:06,,Temperatura Interior,54.0,26.4
2025-02-12 16:26:12,,Temperatura Exterior,51.6,25.3
2025-02-12 16:26:12,,Humedad de Suelo,0.0,0.0
2025-02-12 16:26:12,,Temperatura Agua,0.0,24.375
2025-02-12 16:26:12,,Temperatura Suelo,0.0,13.94139
2025-02-12 16:26:12,,Temperatura Interior,54.0,26.3
2025-02-12 16:26:15,,Temperatura Interior,54.0,26.5
2025-02-12 16:26:18,,Temperatura Interior,54.0,26.4
2025-02-12 16:26:21,,Temperatura Interior,55.0,26.5
2025-02-12 16:26:31,,Temperatura Interior,55.0,26.4
2025-02-12 16:26:33,,Temperatura Interior,54.0,26.4
2025-02-12 16:26:41,,Temperatura Exterior,51.6,25.4
2025-02-12 16:26:41,,Humedad de Suelo,0.0,0.0
2025-02-12 16:26:41,,Temperatura Agua,0.0,24.4375
2025-02-12 16:26:41,,Temperatura Suelo,0.0,14.42491
2025-02-12 16:26:41,,Temperatura Interior,55.0,26.5
2025-02-12 16:26:44,,Temperatura Interior,55.0,26.4
2025-02-12 16:26:47,,Temperatura Exterior,51.5,25.4
2025-02-12 16:26:47,,Humedad de Suelo,0.0,0.0
2025-02-12 16:26:47,,Temperatura Agua,0.0,24.4375
2025-02-12 16:26:47,,Temperatura Suelo,0.0,14.26374
2025-02-12 16:26:47,,Temperatura Interior,54.0,26.4
2025-02-12 16:27:03,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:06,,Temperatura Exterior,51.6,25.4
2025-02-12 16:27:06,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:06,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:06,,Temperatura Suelo,0.0,15.71429
2025-02-12 16:27:06,,Temperatura Interior,54.0,26.5
2025-02-12 16:27:07,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:08,,Temperatura Interior,55.0,26.4
2025-02-12 16:27:11,,Temperatura Exterior,51.7,25.4
2025-02-12 16:27:11,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:11,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:11,,Temperatura Suelo,0.0,16.27839
2025-02-12 16:27:11,,Temperatura Interior,55.0,26.4
2025-02-12 16:27:14,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:17,,Temperatura Exterior,51.8,25.4
2025-02-12 16:27:17,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:17,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:17,,Temperatura Suelo,0.0,15.6337
2025-02-12 16:27:17,,Temperatura Interior,55.0,26.4
2025-02-12 16:27:20,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:22,,Temperatura Exterior,51.9,25.4
2025-02-12 16:27:22,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:22,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:22,,Temperatura Suelo,0.0,15.95604
2025-02-12 16:27:22,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:25,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:28,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:31,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:33,,Temperatura Interior,55.0,26.4
2025-02-12 16:27:38,,Temperatura Exterior,52.0,25.4
2025-02-12 16:27:38,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:38,,Temperatura Agua,0.0,24.375
2025-02-12 16:27:38,,Temperatura Suelo,0.0,16.03663
2025-02-12 16:27:38,,Temperatura Interior,55.0,26.3
2025-02-12 16:27:42,,Temperatura Exterior,52.1,25.4
2025-02-12 16:27:42,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:42,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:42,,Temperatura Suelo,0.0,16.35897
2025-02-12 16:27:42,,Temperatura Interior,55.0,26.4
2025-02-12 16:27:45,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:48,,Temperatura Exterior,52.1,25.4
2025-02-12 16:27:48,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:48,,Temperatura Agua,0.0,24.4375
2025-02-12 16:27:48,,Temperatura Suelo,0.0,15.87546
2025-02-12 16:27:48,,Temperatura Interior,55.0,26.5
2025-02-12 16:27:50,,Temperatura Interior,55.0,26.3
2025-02-12 16:27:53,,Temperatura Exterior,52.2,25.4
2025-02-12 16:27:53,,Humedad de Suelo,0.0,0.0
2025-02-12 16:27:53,,Temperatura Agua,0.0,24.375
2025-02-12 16:27:53,,Temperatura Suelo,0.0,16.1978
2025-02-12 16:27:53,,Temperatura Interior,55.0,26.4
2025-02-12 16:28:18,,Temperatura Exterior,52.3,25.4
2025-02-12 16:28:18,,Humedad de Suelo,0.0,0.0
2025-02-12 16:28:18,,Temperatura Agua,0.0,24.4375
2025-02-12 16:28:18,,Temperatura Suelo,0.0,15.87546
2025-02-12 16:28:18,,Temperatura Interior,55.0,26.4
2025-02-12 16:28:23,,Temperatura Interior,55.0,26.3
2025-02-12 16:28:26,,Temperatura Interior,55.0,26.3
2025-02-12 16:28:29,,Temperatura Exterior,52.3,25.4
2025-02-12 16:28:29,,Humedad de Suelo,0.0,0.0
2025-02-12 16:28:29,,Temperatura Agua,0.0,24.4375
2025-02-12 16:28:29,,Temperatura Suelo,0.0,15.6337
2025-02-12 16:28:29,,Temperatura Interior,55.0,26.4
2025-02-12 16:28:32,,Temperatura Interior,55.0,26.4
2025-02-12 16:28:38,,Temperatura Exterior,52.3,25.4
2025-02-12 16:28:38,,Humedad de Suelo,0.0,0.0
2025-02-12 16:28:38,,Temperatura Interior,55.0,26.3
2025-02-12 16:28:41,,Temperatura Interior,55.0,26.4
